"","names(gss1)"
"1","year"
"2","id"
"3","wrkstat"
"4","evwork"
"5","PRESTG10"
"6","natcrime"
"7","health"
"8","abhlth"
"9","fear"
"10","fepresch"
"11","fammhneg"
"12","safehlth"
"13","trdunion"
"14","physhlth"
"15","mntlhlth"
"16","hlthdays"
"17","hyperten"
"18","arthrtis"
"19","diabetes"
"20","depress"
"21","misswork"
"22","hlthphys"
"23","hlthmntl"
"24","abinspay"
"25","inteduc"
"26","savejobs"
"27","spschool"
"28","hlthcare"
"29","prvdschl"
"30","strngun"
"31","conschls"
"32","immcrime"
"33","crimlose"
"34","ballot"
"35","hlthstrt"
"36","rhlthend"
"37","yr_bal_id"
