county_fips,county_name,pop11,pop12,pop13,pop14,pop15,pop16,pop17,pop18
41001,BAKER,16215,16210,16280,16325,16425,16510,16750,16765
41003,BENTON,85995,86785,87725,88740,90005,91320,92575,93590
41005,CLACKAMAS,378480,381680,386080,391525,397385,404980,413000,419425
41007,CLATSOP,37145,37190,37270,37495,37750,38225,38820,39200
41009,COLUMBIA,49625,49680,49850,50075,50390,50795,51345,51900
41011,COOS,62960,62890,62860,62900,62990,63190,63310,63275
41013,CROOK,20855,20650,20690,20780,21085,21580,22105,22710
41015,CURRY,22335,22295,22300,22355,22470,22600,22805,22915
41017,DESCHUTES,158875,160140,162525,166400,170740,176635,182930,188980
41019,DOUGLAS,107795,108195,108850,109385,109910,110395,111180,111735
41021,GILLIAM,1880,1900,1945,1975,1975,1980,1995,1985
41023,GRANT,7450,7450,7435,7425,7430,7410,7415,7400
41025,HARNEY,7375,7315,7260,7265,7295,7320,7360,7380
41027,HOOD RIVER,22625,22875,23295,23730,24245,24735,25145,25310
41029,JACKSON,203950,204630,206310,208375,210975,213765,216900,219200
41031,JEFFERSON,21845,21940,22040,22205,22445,22790,23190,23560
41033,JOSEPHINE,82820,82775,82815,83105,83720,84675,85650,86395
41035,KLAMATH,66580,66740,66810,66910,67110,67410,67690,67960
41037,LAKE,7885,7920,7940,7990,8010,8015,8120,8115
41039,LANE,353155,354200,356125,358805,362150,365940,370600,375120
41041,LINCOLN,46155,46295,46560,46890,47225,47735,47960,48210
41043,LINN,117340,118035,118665,119705,120860,122315,124010,125575
41045,MALHEUR,31445,31395,31440,31470,31480,31705,31845,31925
41047,MARION,318150,320495,322880,326150,329770,333950,339200,344035
41049,MORROW,11270,11300,11425,11525,11630,11745,11890,11885
41051,MULTNOMAH,741925,748445,756530,765775,777490,790670,803000,813300
41053,POLK,75965,76625,77065,77735,78570,79730,81000,82100
41055,SHERMAN,1765,1765,1780,1785,1790,1795,1800,1785
41057,TILLAMOOK,25255,25305,25375,25480,25690,25920,26175,26395
41059,UMATILLA,76580,77120,77895,78340,79155,79880,80500,80765
41061,UNION,25980,26175,26325,26485,26625,26745,26900,26885
41063,WALLOWA,6995,7015,7045,7070,7100,7140,7195,7175
41065,WASCO,25300,25485,25810,26105,26370,26700,27100,27200
41067,WASHINGTON,536370,542845,550990,560465,570510,583595,595860,606280
41069,WHEELER,1435,1425,1430,1440,1445,1465,1480,1450
41071,YAMHILL,99850,100550,101400,102525,103630,104990,106300,107415
